,Status,City
1159,current,Dukuhmaja
1160,current,Cipondok
1161,current,Lebakwangi
1162,current,Darma
1163,current,Haurkuning
1164,current,Hantara
1165,current,Dukuhbadag
1166,current,Banjar Tengahbelayu
1167,city not found,Magetan
1168,city not found,Bukbatang
1169,current,Pandeyan
1170,current,Sidem
1171,current,Kebumen
1172,current,Ruser
1173,current,Gunajaya
1174,current,Ciberung
1175,current,Pakel
1176,current,Kostarea Satu
1177,current,Cimacan
1178,current,Cilampuyang
1179,current,Banyuresmi
1180,current,Babakancikaso
1181,current,Leles
1182,current,Sukabatu
1183,current,Balakasap
1184,current,Cipicung
1185,current,Sukamulya
1186,current,Cikondang
1187,current,Sindangsari
1188,current,Sindangsari
1189,current,Wanakerta
1190,current,Pasireunteung
1191,current,Talun
1192,current,Cidahu
1193,current,Tegalpanjang
1194,current,Cisalakdesa
1195,current,Cinta
1196,current,Cikandang
1197,current,Paas Girang
1198,current,Peujeuh
1199,current,Hegarmanah
1200,current,Rancamaya
1201,current,Citalahab
1202,current,Cigeudeug
1203,current,Sukaraja
1204,current,Cijoho
1205,current,Batugede Kulon
1206,current,Sukatani
1207,current,Sukagalih
1208,current,Mancagahar
1209,current,Kadudampit
1210,current,Cihaur
1211,current,Cimaragas
1212,current,Hegarsari
1213,current,Parungjawa
1214,current,Gugunungan
1215,current,Cigaluh
1216,current,Babakan Sukasari
1217,current,Ciudian
1218,current,Cipanggilingan
1219,current,Cijambe
1220,current,Pawitra
1221,current,Margamulya
1222,current,Babakan Loak
1223,current,Pulosari
1224,current,Cibungur
1225,current,Warungtanjung
1226,current,Potongan
1227,current,Cigagade
1228,current,Pasirlimus
1229,current,Pasirgaru
1230,current,Paledang
1231,current,Cilolongokan
1232,current,Pasirlaja
1233,current,Cicapar Lebak
1234,current,Gunungsatria
1235,current,Bantarmunding
1236,current,Cilongkrangpasantren
